name,url,test_types,remote_testing,adaptive
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,K,No,No
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,K,No,No
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,K,No,No
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,K,No,No
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,K,No,No
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,K,No,No
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,K,No,No
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,K,No,No
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,CAP,No,No
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,ACP,No,No
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,K,No,No
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,K,No,No
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,K,No,No
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,K,No,No
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,K,No,No
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,K,No,No
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,K,No,No
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013/,K,No,No
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/,K,No,No
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,K,No,No
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new/,K,No,No
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new/,K,No,No
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,A,No,No
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,A,No,No
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,A,No,No
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,C,No,No
RemoteWorkQ Manager Report,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,C,No,No
RemoteWorkQ Participant Report,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,C,No,No
RESTful Web Services (New),https://www.shl.com/products/product-catalog/view/restful-web-services-new/,K,No,No
Retail Sales and Service Simulation,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,BKSA,No,No
